                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5465,                 3.9495,                 4.2231,                0.00208,                0.56296,                0.00313,                0.00063,                 3.5896,                 4.0729,                 4.1186,                 0.0757,                 0.0027,                 0.0027
                      1,                 3.4404,                 3.8106,                 4.1544,                0.00235,                0.64444,                0.00467,                0.00088,                 3.5215,                 3.9913,                 4.0758,               0.048685,               0.003685,               0.003685
                      2,                 3.4081,                 3.6146,                 4.1081,                 0.0025,                 0.7037,                0.00506,                0.00096,                 3.4629,                 3.9243,                  4.046,               0.019822,               0.002822,               0.002822
