                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80297,                0.61751,                 1.4387,                0.98505,                0.97643,                0.99311,                0.84096,                0.61786,                0.55123,                 1.3133,               0.003268,               0.003268,               0.003268
                     36,                0.76071,                0.60979,                 1.4083,                 0.9836,                0.97037,                0.99209,                0.87815,                0.57792,                0.53954,                 1.2955,                0.00307,                0.00307,                0.00307
                     37,                0.78549,                0.59115,                  1.387,                  0.985,                0.97276,                0.99389,                 0.8685,                0.60135,                0.57178,                  1.334,               0.002872,               0.002872,               0.002872
                     38,                0.69523,                0.56788,                 1.3381,                0.98296,                0.97778,                0.99341,                0.85901,                0.55421,                0.54244,                 1.2792,               0.002674,               0.002674,               0.002674
                     39,                0.69277,                 0.5641,                 1.3578,                0.99152,                0.93333,                0.99159,                0.87686,                0.54699,                0.57019,                 1.2921,               0.002476,               0.002476,               0.002476
                     40,                0.75754,                0.61553,                 1.3585,                0.99247,                0.97639,                  0.994,                0.87857,                0.51899,                0.49298,                 1.2286,               0.002278,               0.002278,               0.002278
                     41,                0.75247,                0.62419,                 1.3752,                      1,                0.96037,                0.99301,                0.88317,                0.52301,                0.50697,                  1.265,                0.00208,                0.00208,                0.00208
                     42,                0.68552,                0.54622,                 1.3178,                0.99248,                0.97701,                0.99463,                0.87611,                0.57783,                0.51061,                 1.2967,               0.001882,               0.001882,               0.001882
                     43,                0.72335,                0.58202,                 1.3508,                0.99172,                0.99259,                0.99485,                0.88438,                0.50374,                0.49678,                 1.2303,               0.001684,               0.001684,               0.001684
                     44,                 0.6844,                0.54895,                 1.3073,                 0.9913,                0.97037,                0.99359,                0.89764,                0.48601,                0.48706,                 1.2249,               0.001486,               0.001486,               0.001486
                     45,                0.68098,                0.54966,                 1.2979,                0.99015,                0.97778,                  0.994,                0.90982,                0.44571,                0.45586,                 1.1833,               0.001288,               0.001288,               0.001288
                     46,                0.70096,                 0.5536,                 1.3314,                0.98375,                0.99259,                0.99463,                0.89753,                0.46876,                0.46906,                 1.1903,                0.00109,                0.00109,                0.00109
                     47,                0.65379,                0.58349,                  1.304,                 0.9923,                0.97778,                0.99456,                0.91898,                0.44389,                0.44616,                 1.1789,               0.000892,               0.000892,               0.000892
                     48,                0.65011,                 0.5384,                 1.3085,                0.99118,                0.97037,                  0.994,                0.91161,                0.45836,                0.45003,                 1.1747,               0.000694,               0.000694,               0.000694
                     49,                0.62128,                0.52171,                 1.2597,                0.97637,                0.99259,                0.99449,                0.91003,                 0.4277,                0.43403,                 1.1655,               0.000496,               0.000496,               0.000496
