                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4932,                  3.963,                 4.1879,                0.00183,                0.45894,                0.00259,                 0.0005,                 3.5796,                 4.1982,                 4.1109,               0.070811,              0.0032432,              0.0032432
                      1,                 3.4373,                 3.7983,                 4.1081,                0.00198,                0.51691,                0.00339,                0.00064,                 3.5224,                 4.0473,                 4.0655,               0.040746,              0.0065115,              0.0065115
                      2,                 3.3652,                  3.396,                 3.9634,                0.21443,                0.14493,                0.08056,                0.02148,                 3.1609,                 4.0102,                 3.8249,               0.010615,              0.0097137,              0.0097137
                      3,                 3.0888,                 3.1001,                 3.7347,                0.01959,                 0.3285,                0.01336,                0.00446,                 2.9786,                 102.77,                 5.2903,               0.009703,               0.009703,               0.009703
                      4,                 2.7005,                 2.7409,                 3.4171,                0.13026,                0.31401,                0.06374,                0.02006,                 2.6348,                 431.15,                   7.28,               0.009703,               0.009703,               0.009703
                      5,                 2.4812,                 2.4082,                 3.1599,                0.24279,                0.17391,                0.12184,                0.03183,                 2.6858,                 6.0154,                 3.4954,               0.009604,               0.009604,               0.009604
                      6,                 2.3085,                 2.2447,                 2.9763,                0.23872,                0.19324,                0.12378,                0.05055,                 2.4809,                 3.5949,                 3.4307,               0.009505,               0.009505,               0.009505
                      7,                 2.2114,                 2.0764,                  2.847,                0.27001,                 0.4058,                0.24031,                0.09036,                 2.5789,                 4.6605,                 3.4985,               0.009406,               0.009406,               0.009406
                      8,                 2.1035,                 1.9426,                  2.725,                0.48166,                0.46686,                0.39448,                0.16604,                 2.1633,                 2.3721,                 2.9959,               0.009307,               0.009307,               0.009307
                      9,                 1.9776,                 1.8205,                 2.6385,                0.51454,                0.54106,                0.45851,                0.22417,                 1.8237,                 1.9344,                 2.7062,               0.009208,               0.009208,               0.009208
