                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.8111,                 1.6114,                 2.4645,                0.63527,                0.48803,                0.50438,                0.27762,                 1.6863,                 1.9942,                 2.5699,               0.009109,               0.009109,               0.009109
                     11,                 1.7929,                 1.5357,                 2.3828,                0.62353,                0.59903,                0.58766,                0.32437,                 1.7791,                 1.7146,                 2.5882,                0.00901,                0.00901,                0.00901
                     12,                 1.6686,                 1.4241,                 2.2898,                0.72613,                  0.657,                0.66682,                0.42856,                 1.4527,                 1.4279,                  2.323,               0.008911,               0.008911,               0.008911
                     13,                  1.618,                 1.3476,                 2.2142,                 0.8034,                0.63173,                0.69073,                0.43335,                 1.4873,                 1.3437,                 2.3126,               0.008812,               0.008812,               0.008812
                     14,                 1.5715,                 1.2542,                 2.1336,                0.77143,                0.70531,                0.69487,                0.43458,                 1.4689,                 1.2267,                  2.286,               0.008713,               0.008713,               0.008713
                     15,                 1.5064,                  1.232,                 2.1081,                0.76194,                0.70531,                 0.7206,                0.48698,                 1.3511,                 1.1666,                 2.1717,               0.008614,               0.008614,               0.008614
                     16,                 1.4017,                 1.1578,                 1.9903,                0.83879,                0.71498,                0.72244,                0.49122,                 1.3061,                 1.0833,                 2.0855,               0.008515,               0.008515,               0.008515
                     17,                 1.3975,                 1.1168,                 1.9547,                0.80028,                0.73913,                0.74264,                0.50638,                 1.2522,                 1.2502,                 2.0739,               0.008416,               0.008416,               0.008416
                     18,                 1.3469,                 1.0701,                 1.9033,                0.82082,                0.75241,                0.73531,                0.51639,                 1.1606,                 1.1017,                 1.9607,               0.008317,               0.008317,               0.008317
                     19,                 1.3021,                 1.0244,                 1.8964,                0.81747,                0.75362,                 0.7275,                0.50398,                 1.1227,                0.99795,                 1.9318,               0.008218,               0.008218,               0.008218
                     20,                 1.2943,                  1.028,                 1.8787,                 0.7817,                0.64006,                0.63726,                0.45194,                 1.1888,                 1.4026,                  1.944,               0.008119,               0.008119,               0.008119
                     21,                 1.2456,                0.97907,                 1.8257,                0.83677,                0.80193,                0.75483,                0.54234,                 1.0051,                0.95868,                  1.735,                0.00802,                0.00802,                0.00802
                     22,                 1.2293,                0.99542,                 1.8097,                0.84672,                0.74719,                0.75926,                0.59148,                0.98519,                0.90122,                 1.7164,               0.007921,               0.007921,               0.007921
                     23,                 1.1695,                0.93324,                 1.7461,                0.81769,                0.80171,                 0.7659,                0.58228,                0.99215,                0.86718,                 1.7575,               0.007822,               0.007822,               0.007822
                     24,                 1.1963,                0.91103,                 1.7474,                0.84588,                0.77778,                0.76467,                0.57194,                 0.9388,                0.92501,                 1.6639,               0.007723,               0.007723,               0.007723
                     25,                 1.1354,                0.86936,                 1.7172,                0.83918,                 0.7971,                0.78242,                0.59434,                 0.8991,                0.82621,                 1.6126,               0.007624,               0.007624,               0.007624
                     26,                 1.1983,                0.90881,                 1.7449,                0.83955,                0.74879,                0.74288,                0.54785,                 1.0226,                0.95137,                 1.6937,               0.007525,               0.007525,               0.007525
                     27,                 1.1224,                0.87589,                 1.6658,                0.84697,                0.80193,                0.77617,                0.61909,                0.89303,                0.80096,                 1.5947,               0.007426,               0.007426,               0.007426
                     28,                  1.164,                 0.8921,                 1.7038,                0.83266,                0.75362,                0.74747,                 0.5557,                 1.0064,                 0.8919,                 1.7172,               0.007327,               0.007327,               0.007327
                     29,                 1.1006,                0.86799,                 1.6771,                0.83827,                0.78261,                0.77494,                0.61493,                0.83129,                0.75073,                 1.5531,               0.007228,               0.007228,               0.007228
                     30,                 1.0938,                0.83118,                 1.6599,                 0.8376,                0.80676,                0.77748,                0.58454,                0.92668,                 0.7815,                 1.6111,               0.007129,               0.007129,               0.007129
                     31,                 1.0836,                0.85363,                 1.6376,                0.82378,                0.81159,                0.77207,                0.56518,                0.98483,                 0.8067,                 1.6646,                0.00703,                0.00703,                0.00703
                     32,                 1.0402,                0.80599,                 1.6013,                0.84379,                0.82126,                0.78077,                0.61813,                0.81883,                0.73813,                 1.5196,               0.006931,               0.006931,               0.006931
                     33,                  1.046,                 0.8034,                 1.6096,                 0.8474,                0.81643,                0.79153,                0.62859,                0.82538,                  0.735,                  1.504,               0.006832,               0.006832,               0.006832
                     34,                 1.0368,                0.82607,                 1.5949,                0.85059,                0.70531,                0.70396,                0.55947,                0.92396,                0.95092,                 1.6419,               0.006733,               0.006733,               0.006733
                     35,                0.99666,                0.79298,                 1.5649,                0.85546,                0.77199,                0.76903,                0.59424,                0.88887,                0.75631,                 1.5353,               0.006634,               0.006634,               0.006634
                     36,                  0.986,                0.74478,                 1.5332,                0.84695,                0.81643,                0.76047,                 0.5917,                0.84387,                0.74947,                 1.4812,               0.006535,               0.006535,               0.006535
                     37,                 1.0022,                0.76727,                 1.5573,                0.84858,                0.78261,                0.78264,                0.63143,                0.79672,                 0.7585,                 1.4625,               0.006436,               0.006436,               0.006436
                     38,                0.98205,                0.75611,                 1.5585,                0.86852,                0.79777,                0.78764,                0.62307,                0.74779,                0.70265,                 1.4243,               0.006337,               0.006337,               0.006337
                     39,                0.97682,                0.76238,                 1.5295,                0.86875,                0.83092,                0.80992,                0.63799,                0.77295,                0.69018,                 1.4048,               0.006238,               0.006238,               0.006238
                     40,                0.92618,                0.72435,                 1.4937,                 0.8573,                0.81643,                0.79569,                0.62011,                0.81066,                0.73774,                 1.4351,               0.006139,               0.006139,               0.006139
                     41,                0.93413,                0.73015,                 1.4964,                 0.8365,                0.84058,                0.79802,                0.63204,                0.79245,                0.68353,                 1.4633,                0.00604,                0.00604,                0.00604
                     42,                0.94143,                0.73927,                  1.503,                0.83647,                0.84018,                0.78387,                 0.6449,                0.71532,                0.66492,                 1.3747,               0.005941,               0.005941,               0.005941
                     43,                0.91695,                0.70798,                 1.4899,                0.85802,                0.83092,                0.80519,                  0.635,                0.73689,                0.65589,                 1.4071,               0.005842,               0.005842,               0.005842
                     44,                0.92879,                0.71457,                 1.4781,                 0.8588,                0.82609,                0.81515,                0.67661,                0.64968,                0.63195,                 1.2995,               0.005743,               0.005743,               0.005743
                     45,                0.92636,                0.71943,                 1.4839,                 0.8542,                0.81159,                0.81837,                0.69065,                0.66664,                0.64362,                  1.335,               0.005644,               0.005644,               0.005644
                     46,                0.91707,                0.70963,                 1.4698,                0.85924,                0.82126,                0.79018,                0.66027,                0.69987,                0.66739,                 1.3563,               0.005545,               0.005545,               0.005545
                     47,                0.88269,                0.69306,                 1.4616,                0.85745,                0.81643,                0.77852,                  0.656,                0.66482,                0.69442,                 1.3302,               0.005446,               0.005446,               0.005446
                     48,                0.92092,                 0.6995,                 1.4652,                0.85464,                0.82609,                 0.8008,                0.67243,                0.67017,                0.63975,                 1.3277,               0.005347,               0.005347,               0.005347
                     49,                0.89061,                 0.6871,                 1.4574,                0.84683,                0.80676,                0.79412,                0.67554,                 0.6782,                0.67442,                 1.3356,               0.005248,               0.005248,               0.005248
                     50,                0.85039,                0.66938,                 1.4175,                0.86692,                0.82609,                0.81731,                0.67938,                0.65403,                0.61533,                 1.3067,               0.005149,               0.005149,               0.005149
                     51,                0.84351,                0.64378,                 1.4216,                0.86206,                0.81517,                0.81534,                0.67546,                0.67591,                0.64755,                 1.2932,                0.00505,                0.00505,                0.00505
                     52,                0.85733,                0.68128,                 1.4301,                0.85733,                0.82609,                0.83312,                0.67719,                0.66812,                0.62033,                 1.3175,               0.004951,               0.004951,               0.004951
                     53,                0.86764,                0.67542,                 1.4177,                0.84429,                0.83821,                0.81637,                0.65437,                0.69656,                0.63283,                 1.3455,               0.004852,               0.004852,               0.004852
                     54,                0.85914,                0.64558,                 1.4243,                0.86921,                0.83575,                0.81376,                0.68484,                0.65174,                0.60024,                 1.2949,               0.004753,               0.004753,               0.004753
                     55,                0.86699,                0.66066,                 1.4241,                0.85218,                0.84058,                0.79293,                0.66741,                0.66549,                0.65524,                 1.2946,               0.004654,               0.004654,               0.004654
                     56,                0.84014,                0.64151,                 1.4261,                0.85727,                0.84541,                0.79928,                0.66577,                0.68685,                0.64258,                 1.3324,               0.004555,               0.004555,               0.004555
                     57,                0.84478,                0.64944,                 1.3978,                0.85696,                0.83936,                0.79983,                0.69309,                0.62385,                0.62139,                 1.2607,               0.004456,               0.004456,               0.004456
                     58,                0.87032,                0.68983,                 1.4334,                0.85872,                0.82216,                0.80407,                0.67163,                0.65998,                 0.6334,                 1.2823,               0.004357,               0.004357,               0.004357
                     59,                0.79714,                0.63469,                 1.3763,                0.86822,                0.84058,                 0.8086,                0.68902,                0.63538,                0.60108,                  1.262,               0.004258,               0.004258,               0.004258
                     60,                0.83958,                0.63315,                  1.408,                0.86451,                0.85024,                0.80184,                0.68398,                0.62109,                0.59873,                 1.2472,               0.004159,               0.004159,               0.004159
                     61,                0.79863,                0.61534,                 1.3673,                0.85252,                0.84541,                0.81077,                0.69589,                0.64366,                0.60432,                 1.2648,                0.00406,                0.00406,                0.00406
                     62,                0.79696,                0.62407,                 1.3774,                0.86494,                 0.8353,                0.81592,                0.68756,                 0.6351,                0.63986,                 1.2505,               0.003961,               0.003961,               0.003961
                     63,                 0.8631,                 0.6317,                 1.4285,                0.83464,                0.83575,                0.80953,                0.69305,                0.63791,                0.62419,                 1.2527,               0.003862,               0.003862,               0.003862
                     64,                0.82143,                0.62152,                 1.3748,                0.86128,                0.84541,                0.82719,                0.69381,                0.64825,                0.58942,                 1.2714,               0.003763,               0.003763,               0.003763
                     65,                0.80298,                0.61969,                 1.3569,                0.85241,                0.83704,                0.80295,                0.69887,                0.58886,                0.59644,                  1.223,               0.003664,               0.003664,               0.003664
                     66,                0.78004,                0.58656,                 1.3724,                0.87126,                0.86473,                0.82557,                0.69354,                0.61573,                0.57168,                 1.2354,               0.003565,               0.003565,               0.003565
                     67,                0.81928,                0.61562,                 1.3701,                0.87424,                0.84058,                0.79874,                0.68231,                 0.6105,                0.59007,                 1.2368,               0.003466,               0.003466,               0.003466
                     68,                0.77778,                0.61947,                 1.3614,                0.85124,                0.82933,                0.80888,                0.71132,                 0.5964,                0.60206,                 1.2224,               0.003367,               0.003367,               0.003367
                     69,                0.74631,                0.58252,                 1.2994,                0.86621,                0.81318,                0.81148,                 0.7065,                 0.6256,                0.63205,                 1.2328,               0.003268,               0.003268,               0.003268
                     70,                 0.7958,                0.60041,                 1.3595,                0.87187,                0.83092,                0.82698,                0.69937,                0.61865,                0.60415,                 1.2279,               0.003169,               0.003169,               0.003169
                     71,                 0.7982,                0.60604,                 1.3605,                0.86658,                 0.8472,                0.80939,                0.69239,                0.57768,                0.57329,                 1.2077,                0.00307,                0.00307,                0.00307
                     72,                0.77584,                0.59696,                 1.3617,                0.86337,                0.85473,                0.81939,                0.70343,                0.57599,                0.58606,                 1.1987,               0.002971,               0.002971,               0.002971
                     73,                0.76129,                0.59242,                 1.3127,                 0.8601,                0.84058,                0.82106,                0.70502,                0.60982,                0.56519,                 1.2221,               0.002872,               0.002872,               0.002872
                     74,                 0.7283,                0.56029,                 1.3023,                0.85223,                0.86367,                0.82865,                0.72815,                0.58044,                0.58054,                 1.2078,               0.002773,               0.002773,               0.002773
                     75,                0.77108,                0.58206,                 1.3269,                0.86446,                0.84541,                0.83277,                0.71878,                0.58238,                0.56481,                 1.2082,               0.002674,               0.002674,               0.002674
                     76,                0.74248,                0.57978,                 1.3264,                0.86106,                0.84541,                0.83617,                 0.7324,                0.54553,                0.57721,                 1.1784,               0.002575,               0.002575,               0.002575
                     77,                0.73432,                 0.5603,                 1.3111,                0.86492,                0.85024,                0.83669,                0.72373,                 0.5814,                0.57685,                 1.2048,               0.002476,               0.002476,               0.002476
                     78,                0.72253,                0.55215,                  1.291,                0.85907,                0.83092,                0.81832,                0.72922,                0.57296,                0.60546,                 1.2037,               0.002377,               0.002377,               0.002377
                     79,                0.73979,                0.57568,                 1.3267,                0.87283,                0.84541,                0.81468,                0.71094,                0.60291,                0.58978,                 1.2128,               0.002278,               0.002278,               0.002278
                     80,                0.74131,                 0.5708,                  1.304,                0.86975,                0.84541,                0.81385,                0.72699,                0.57022,                 0.5963,                 1.2071,               0.002179,               0.002179,               0.002179
                     81,                0.74094,                0.57441,                 1.3189,                0.86285,                0.83092,                0.80823,                0.71347,                0.58603,                0.58584,                 1.1894,                0.00208,                0.00208,                0.00208
                     82,                0.75445,                0.58426,                 1.3084,                 0.8574,                0.84233,                 0.8183,                0.73081,                0.56255,                0.56874,                 1.1821,               0.001981,               0.001981,               0.001981
                     83,                0.69364,                0.53114,                  1.266,                0.87437,                0.84541,                0.81778,                0.72949,                0.56338,                0.57792,                 1.1812,               0.001882,               0.001882,               0.001882
                     84,                0.72493,                0.57097,                 1.2975,                0.87144,                0.84058,                0.82407,                0.70554,                 0.5692,                0.56902,                 1.1825,               0.001783,               0.001783,               0.001783
                     85,                0.74646,                 0.6041,                 1.3302,                0.86596,                0.83575,                0.79123,                0.70838,                0.55469,                0.56696,                 1.1835,               0.001684,               0.001684,               0.001684
                     86,                0.71616,                 0.5501,                 1.2915,                0.85533,                0.85684,                 0.8294,                0.72815,                0.55404,                0.56276,                 1.1743,               0.001585,               0.001585,               0.001585
                     87,                 0.7064,                 0.5574,                 1.2662,                0.86565,                0.85024,                0.82586,                0.73379,                0.53268,                0.56048,                 1.1676,               0.001486,               0.001486,               0.001486
                     88,                0.71123,                0.54994,                 1.2963,                 0.8627,                0.85024,                0.82954,                0.73782,                0.56437,                0.56572,                 1.1831,               0.001387,               0.001387,               0.001387
                     89,                0.69842,                0.53891,                 1.2924,                0.86397,                0.83092,                0.84236,                0.74099,                 0.5539,                0.55811,                 1.1728,               0.001288,               0.001288,               0.001288
                     90,                0.70983,                0.56313,                 1.2992,                0.86001,                0.83092,                0.81765,                0.72072,                0.54221,                0.55932,                 1.1728,               0.001189,               0.001189,               0.001189
                     91,                0.71289,                0.56353,                 1.2798,                 0.8501,                 0.8599,                0.82061,                0.70926,                0.56481,                0.56937,                  1.184,                0.00109,                0.00109,                0.00109
                     92,                0.67487,                0.55259,                 1.2692,                0.86077,                0.83629,                0.82116,                0.73684,                0.55088,                0.56385,                  1.172,               0.000991,               0.000991,               0.000991
                     93,                0.64669,                0.54157,                 1.2318,                0.86979,                0.83904,                0.82573,                0.73587,                 0.5365,                0.55449,                 1.1631,               0.000892,               0.000892,               0.000892
                     94,                0.70903,                0.56362,                 1.2897,                0.86731,                 0.8599,                0.82702,                0.73013,                0.51714,                0.54293,                 1.1517,               0.000793,               0.000793,               0.000793
                     95,                0.67336,                0.52172,                 1.2743,                0.86552,                0.83946,                 0.8234,                0.73556,                0.52375,                0.55074,                   1.16,               0.000694,               0.000694,               0.000694
                     96,                0.67366,                0.54243,                 1.2654,                0.87045,                0.84541,                0.81444,                0.72247,                0.54589,                0.55824,                 1.1768,               0.000595,               0.000595,               0.000595
                     97,                  0.654,                0.54802,                 1.2588,                0.86949,                0.84541,                0.82923,                0.72706,                0.54106,                0.55522,                  1.169,               0.000496,               0.000496,               0.000496
                     98,                0.68584,                0.56932,                 1.2709,                0.86827,                0.85977,                0.84112,                 0.7363,                0.52229,                0.53976,                 1.1521,               0.000397,               0.000397,               0.000397
                     99,                0.65328,                0.53652,                 1.2332,                0.86968,                0.84541,                0.83529,                0.73443,                0.51798,                0.53356,                 1.1536,               0.000298,               0.000298,               0.000298
